order_value_gbp,restaurant_id,number_of_items,prep_time_seconds,city,type_of_food,day,hour,average_prep_resteraunt,min_prep_restauraunt,max_prep_restauraunt
36.75,2276,5,875,London,healthy,Monday,19,1894.6363636363637,160,12696
17.5,2276,3,976,London,healthy,Monday,19,1894.6363636363637,160,12696
12.75,2276,3,830,London,healthy,Monday,19,1894.6363636363637,160,12696
15.0,2276,2,1353,London,healthy,Tuesday,13,1894.6363636363637,160,12696
38.35,2276,6,2004,London,healthy,Tuesday,13,1894.6363636363637,160,12696
27.98,2276,2,1033,London,healthy,Thursday,14,1894.6363636363637,160,12696
17.75,2276,3,790,London,healthy,Thursday,18,1894.6363636363637,160,12696
85.5,2276,6,4669,London,healthy,Friday,12,1894.6363636363637,160,12696
28.1,2276,3,3782,London,healthy,Friday,12,1894.6363636363637,160,12696
60.5,2276,6,610,London,healthy,Friday,13,1894.6363636363637,160,12696
17.75,2276,3,1243,London,healthy,Friday,16,1894.6363636363637,160,12696
13.75,2276,3,327,London,healthy,Friday,17,1894.6363636363637,160,12696
21.3,2276,4,1576,London,healthy,Saturday,13,1894.6363636363637,160,12696
15.0,2276,2,965,London,healthy,Saturday,16,1894.6363636363637,160,12696
16.35,2276,3,1256,London,healthy,Sunday,13,1894.6363636363637,160,12696
41.75,2276,7,1159,London,healthy,Sunday,13,1894.6363636363637,160,12696
24.85,2276,3,853,London,healthy,Sunday,14,1894.6363636363637,160,12696
22.65,2276,4,1191,London,healthy,Sunday,17,1894.6363636363637,160,12696
28.4,2276,5,829,London,healthy,Sunday,18,1894.6363636363637,160,12696
23.34,2276,4,682,London,healthy,Monday,13,1894.6363636363637,160,12696
20.05,2276,3,559,London,healthy,Monday,14,1894.6363636363637,160,12696
21.5,2276,2,814,London,healthy,Monday,16,1894.6363636363637,160,12696
17.0,2276,3,875,London,healthy,Tuesday,17,1894.6363636363637,160,12696
22.85,2276,3,11419,London,healthy,Wednesday,10,1894.6363636363637,160,12696
29.75,2276,3,12696,London,healthy,Wednesday,11,1894.6363636363637,160,12696
17.0,2276,2,6016,London,healthy,Wednesday,11,1894.6363636363637,160,12696
15.1,2276,3,338,London,healthy,Wednesday,13,1894.6363636363637,160,12696
15.25,2276,4,1145,London,healthy,Wednesday,16,1894.6363636363637,160,12696
16.0,2276,2,2922,London,healthy,Thursday,12,1894.6363636363637,160,12696
26.1,2276,2,644,London,healthy,Thursday,15,1894.6363636363637,160,12696
21.8,2276,3,876,London,healthy,Friday,15,1894.6363636363637,160,12696
15.75,2276,2,1881,London,healthy,Saturday,13,1894.6363636363637,160,12696
15.5,2276,4,1394,London,healthy,Sunday,16,1894.6363636363637,160,12696
19.95,2276,3,706,London,healthy,Sunday,16,1894.6363636363637,160,12696
39.5,2276,3,4188,London,healthy,Monday,12,1894.6363636363637,160,12696
19.6,2276,5,809,London,healthy,Monday,18,1894.6363636363637,160,12696
21.0,2276,3,643,London,healthy,Tuesday,17,1894.6363636363637,160,12696
26.85,2276,3,2416,London,healthy,Wednesday,13,1894.6363636363637,160,12696
29.55,2276,3,1086,London,healthy,Friday,14,1894.6363636363637,160,12696
15.0,2276,3,885,London,healthy,Friday,14,1894.6363636363637,160,12696
51.75,2276,5,1928,London,healthy,Saturday,14,1894.6363636363637,160,12696
16.24,2276,4,207,London,healthy,Saturday,15,1894.6363636363637,160,12696
16.5,2276,2,588,London,healthy,Saturday,15,1894.6363636363637,160,12696
22.05,2276,4,1801,London,healthy,Saturday,17,1894.6363636363637,160,12696
20.25,2276,4,1624,London,healthy,Saturday,17,1894.6363636363637,160,12696
17.6,2276,4,1063,London,healthy,Sunday,13,1894.6363636363637,160,12696
16.0,2276,3,743,London,healthy,Sunday,14,1894.6363636363637,160,12696
29.65,2276,5,1278,London,healthy,Sunday,17,1894.6363636363637,160,12696
33.75,2276,5,730,London,healthy,Sunday,17,1894.6363636363637,160,12696
6.0,2276,1,238,London,healthy,Sunday,17,1894.6363636363637,160,12696
16.05,2276,3,327,London,healthy,Sunday,18,1894.6363636363637,160,12696
49.25,2276,5,3588,London,healthy,Monday,12,1894.6363636363637,160,12696
19.05,2276,2,998,London,healthy,Monday,13,1894.6363636363637,160,12696
23.9,2276,5,1325,London,healthy,Monday,13,1894.6363636363637,160,12696
17.0,2276,2,1257,London,healthy,Monday,16,1894.6363636363637,160,12696
21.5,2276,2,1035,London,healthy,Monday,18,1894.6363636363637,160,12696
20.35,2276,4,564,London,healthy,Monday,18,1894.6363636363637,160,12696
17.25,2276,3,1319,London,healthy,Monday,18,1894.6363636363637,160,12696
17.05,2276,2,889,London,healthy,Monday,18,1894.6363636363637,160,12696
15.1,2276,3,2858,London,healthy,Tuesday,12,1894.6363636363637,160,12696
37.2,2276,5,668,London,healthy,Tuesday,14,1894.6363636363637,160,12696
15.75,2276,2,7953,London,healthy,Wednesday,11,1894.6363636363637,160,12696
16.5,2276,2,2204,London,healthy,Wednesday,12,1894.6363636363637,160,12696
19.05,2276,2,2083,London,healthy,Wednesday,12,1894.6363636363637,160,12696
15.0,2276,2,504,London,healthy,Wednesday,13,1894.6363636363637,160,12696
19.0,2276,1,379,London,healthy,Wednesday,13,1894.6363636363637,160,12696
13.1,2276,2,841,London,healthy,Wednesday,14,1894.6363636363637,160,12696
15.2,2276,2,160,London,healthy,Wednesday,15,1894.6363636363637,160,12696
21.99,2276,3,261,London,healthy,Wednesday,15,1894.6363636363637,160,12696
43.5,2276,3,3638,London,healthy,Thursday,12,1894.6363636363637,160,12696
22.3,2276,3,4447,London,healthy,Thursday,12,1894.6363636363637,160,12696
15.75,2276,3,675,London,healthy,Thursday,17,1894.6363636363637,160,12696
15.65,2276,5,433,London,healthy,Thursday,18,1894.6363636363637,160,12696
20.7,2276,3,562,London,healthy,Sunday,13,1894.6363636363637,160,12696
46.35,2276,6,689,London,healthy,Sunday,13,1894.6363636363637,160,12696
16.75,2276,3,730,London,healthy,Sunday,15,1894.6363636363637,160,12696
15.1,2276,3,1743,London,healthy,Sunday,16,1894.6363636363637,160,12696
23.65,2276,5,1423,London,healthy,Sunday,17,1894.6363636363637,160,12696
16.5,2276,2,890,London,healthy,Sunday,18,1894.6363636363637,160,12696
33.3,2276,5,1063,London,healthy,Sunday,18,1894.6363636363637,160,12696
23.75,2276,4,1253,London,healthy,Tuesday,13,1894.6363636363637,160,12696
26.0,2276,2,676,London,healthy,Tuesday,13,1894.6363636363637,160,12696
19.25,2276,2,806,London,healthy,Tuesday,16,1894.6363636363637,160,12696
23.5,2276,6,4579,London,healthy,Tuesday,16,1894.6363636363637,160,12696
30.95,1941,2,13084,London,dessert,Monday,12,1301.25,112,13084
15.4,1941,6,204,London,dessert,Saturday,19,1301.25,112,13084
19.9,1941,6,473,London,dessert,Sunday,18,1301.25,112,13084
17.4,1941,5,756,London,dessert,Friday,19,1301.25,112,13084
15.3,1941,4,322,London,dessert,Saturday,17,1301.25,112,13084
15.75,1941,2,810,London,dessert,Sunday,14,1301.25,112,13084
14.9,1941,4,159,London,dessert,Wednesday,18,1301.25,112,13084
16.95,1941,4,345,London,dessert,Saturday,16,1301.25,112,13084
17.4,1941,5,141,London,dessert,Saturday,19,1301.25,112,13084
17.8,1941,5,269,London,dessert,Sunday,19,1301.25,112,13084
45.9,1941,1,452,London,dessert,Monday,15,1301.25,112,13084
22.95,1941,1,188,London,dessert,Tuesday,19,1301.25,112,13084
45.9,1941,1,744,London,dessert,Wednesday,15,1301.25,112,13084
14.0,1941,3,2371,London,dessert,Saturday,18,1301.25,112,13084
15.15,1941,5,112,London,dessert,Saturday,19,1301.25,112,13084
24.7,1941,7,390,London,dessert,Sunday,19,1301.25,112,13084
147.7,1514,8,2239,London,thai,Monday,13,1029.1538461538462,15,4827
27.1,1514,4,464,London,thai,Wednesday,20,1029.1538461538462,15,4827
7.95,1514,1,271,London,thai,Wednesday,22,1029.1538461538462,15,4827
135.65,1514,10,4827,London,thai,Friday,12,1029.1538461538462,15,4827
30.2,1514,4,756,London,thai,Friday,19,1029.1538461538462,15,4827
26.2,1514,4,297,London,thai,Thursday,22,1029.1538461538462,15,4827
51.6,1514,6,1062,London,thai,Friday,22,1029.1538461538462,15,4827
15.45,1514,2,202,London,thai,Monday,19,1029.1538461538462,15,4827
7.95,1514,1,574,London,thai,Monday,20,1029.1538461538462,15,4827
21.5,1514,3,161,London,thai,Monday,20,1029.1538461538462,15,4827
15.25,1514,2,775,London,thai,Wednesday,21,1029.1538461538462,15,4827
7.95,1514,1,15,London,thai,Thursday,20,1029.1538461538462,15,4827
17.9,1514,2,1736,London,thai,Friday,12,1029.1538461538462,15,4827
48.0,604,1,6707,London,american,Monday,11,2049.12,472,7443
43.15,604,8,962,London,american,Monday,16,2049.12,472,7443
171.85,604,13,2448,London,american,Tuesday,13,2049.12,472,7443
23.95,604,6,794,London,american,Tuesday,15,2049.12,472,7443
28.9,604,4,606,London,american,Monday,20,2049.12,472,7443
14.15,604,3,658,London,american,Tuesday,13,2049.12,472,7443
17.5,604,3,1016,London,american,Tuesday,14,2049.12,472,7443
28.25,604,5,1256,London,american,Friday,13,2049.12,472,7443
17.5,604,1,7443,London,american,Wednesday,11,2049.12,472,7443
25.2,604,7,571,London,american,Wednesday,23,2049.12,472,7443
16.25,604,2,6023,London,american,Thursday,12,2049.12,472,7443
28.0,604,3,2893,London,american,Thursday,12,2049.12,472,7443
36.95,604,6,3070,London,american,Thursday,13,2049.12,472,7443
29.15,604,4,777,London,american,Thursday,23,2049.12,472,7443
30.2,604,7,824,London,american,Friday,19,2049.12,472,7443
18.0,604,5,4234,London,american,Saturday,21,2049.12,472,7443
19.2,604,4,922,London,american,Sunday,18,2049.12,472,7443
78.4,604,12,3197,London,american,Friday,13,2049.12,472,7443
28.45,604,6,1342,London,american,Friday,21,2049.12,472,7443
15.75,604,3,756,London,american,Saturday,16,2049.12,472,7443
16.75,604,3,472,London,american,Saturday,17,2049.12,472,7443
31.0,604,7,1102,London,american,Saturday,19,2049.12,472,7443
18.7,604,5,1206,London,american,Saturday,22,2049.12,472,7443
19.7,604,3,697,London,american,Saturday,22,2049.12,472,7443
31.75,604,5,1252,London,american,Tuesday,23,2049.12,472,7443
12.7782,1869,4,1658,Paris,french,Monday,13,294.2108843537415,0,3662
10.6485,1869,3,2076,Paris,french,Monday,13,294.2108843537415,0,3662
22.7168,1869,9,11,Paris,french,Monday,21,294.2108843537415,0,3662
119.2632,1869,7,251,Paris,french,Monday,21,294.2108843537415,0,3662
10.6485,1869,3,553,Paris,french,Monday,21,294.2108843537415,0,3662
14.198,1869,4,52,Paris,french,Monday,22,294.2108843537415,0,3662
11.3584,1869,3,38,Paris,french,Monday,23,294.2108843537415,0,3662
10.6485,1869,3,5,Paris,french,Tuesday,14,294.2108843537415,0,3662
24.8465,1869,6,56,Paris,french,Tuesday,21,294.2108843537415,0,3662
11.3584,1869,3,35,Paris,french,Tuesday,22,294.2108843537415,0,3662
45.4336,1869,6,1467,Paris,french,Wednesday,13,294.2108843537415,0,3662
22.7168,1869,3,14,Paris,french,Wednesday,13,294.2108843537415,0,3662
33.3653,1869,7,30,Paris,french,Wednesday,21,294.2108843537415,0,3662
22.7168,1869,4,5,Paris,french,Wednesday,22,294.2108843537415,0,3662
11.3584,1869,3,20,Paris,french,Wednesday,22,294.2108843537415,0,3662
22.0069,1869,5,30,Paris,french,Wednesday,22,294.2108843537415,0,3662
30.5257,1869,6,70,Paris,french,Wednesday,22,294.2108843537415,0,3662
23.4267,1869,5,5,Paris,french,Thursday,14,294.2108843537415,0,3662
13.4881,1869,4,779,Paris,french,Thursday,21,294.2108843537415,0,3662
22.0069,1869,4,231,Paris,french,Thursday,22,294.2108843537415,0,3662
73.8296,1869,13,277,Paris,french,Thursday,22,294.2108843537415,0,3662
11.3584,1869,3,1626,Paris,french,Friday,13,294.2108843537415,0,3662
12.0683,1869,3,1593,Paris,french,Friday,20,294.2108843537415,0,3662
24.8465,1869,6,90,Paris,french,Friday,20,294.2108843537415,0,3662
14.198,1869,4,55,Paris,french,Friday,20,294.2108843537415,0,3662
12.0683,1869,3,10,Paris,french,Friday,21,294.2108843537415,0,3662
22.7168,1869,4,80,Paris,french,Friday,21,294.2108843537415,0,3662
16.3277,1869,5,3232,Paris,french,Friday,21,294.2108843537415,0,3662
13.4881,1869,4,75,Paris,french,Friday,22,294.2108843537415,0,3662
14.198,1869,4,3662,Paris,french,Saturday,12,294.2108843537415,0,3662
22.7168,1869,5,55,Paris,french,Saturday,14,294.2108843537415,0,3662
22.7168,1869,5,483,Paris,french,Saturday,22,294.2108843537415,0,3662
38.3346,1869,5,20,Paris,french,Monday,14,294.2108843537415,0,3662
11.3584,1869,6,85,Paris,french,Monday,14,294.2108843537415,0,3662
11.3584,1869,3,357,Paris,french,Monday,21,294.2108843537415,0,3662
11.3584,1869,3,125,Paris,french,Monday,21,294.2108843537415,0,3662
21.297,1869,4,166,Paris,french,Monday,21,294.2108843537415,0,3662
21.297,1869,3,498,Paris,french,Monday,21,294.2108843537415,0,3662
22.0069,1869,5,724,Paris,french,Monday,21,294.2108843537415,0,3662
63.1811,1869,13,321,Paris,french,Monday,22,294.2108843537415,0,3662
22.0069,1869,4,196,Paris,french,Tuesday,21,294.2108843537415,0,3662
22.7168,1869,4,55,Paris,french,Tuesday,21,294.2108843537415,0,3662
14.198,1869,4,40,Paris,french,Tuesday,21,294.2108843537415,0,3662
22.7168,1869,6,70,Paris,french,Tuesday,21,294.2108843537415,0,3662
16.3277,1869,5,127,Paris,french,Tuesday,23,294.2108843537415,0,3662
11.3584,1869,3,76,Paris,french,Tuesday,23,294.2108843537415,0,3662
12.0683,1869,6,35,Paris,french,Wednesday,21,294.2108843537415,0,3662
22.7168,1869,5,65,Paris,french,Wednesday,22,294.2108843537415,0,3662
32.6554,1869,7,105,Paris,french,Wednesday,22,294.2108843537415,0,3662
24.1366,1869,6,120,Paris,french,Wednesday,22,294.2108843537415,0,3662
21.297,1869,3,271,Paris,french,Wednesday,22,294.2108843537415,0,3662
11.3584,1869,3,50,Paris,french,Wednesday,23,294.2108843537415,0,3662
24.8465,1869,6,2018,Paris,french,Thursday,20,294.2108843537415,0,3662
27.6861,1869,6,26,Paris,french,Thursday,21,294.2108843537415,0,3662
17.7475,1869,4,27,Paris,french,Thursday,21,294.2108843537415,0,3662
22.7168,1869,4,33,Paris,french,Thursday,22,294.2108843537415,0,3662
11.3584,1869,3,35,Paris,french,Friday,13,294.2108843537415,0,3662
24.8465,1869,7,20,Paris,french,Friday,21,294.2108843537415,0,3662
11.3584,1869,3,5,Paris,french,Friday,21,294.2108843537415,0,3662
18.4574,1869,3,10,Paris,french,Friday,21,294.2108843537415,0,3662
33.3653,1869,5,2324,Paris,french,Friday,22,294.2108843537415,0,3662
13.4881,1869,4,71,Paris,french,Monday,13,294.2108843537415,0,3662
10.6485,1869,3,60,Paris,french,Monday,14,294.2108843537415,0,3662
21.297,1869,4,30,Paris,french,Monday,20,294.2108843537415,0,3662
24.1366,1869,7,36,Paris,french,Monday,21,294.2108843537415,0,3662
34.075199999999995,1869,5,50,Paris,french,Monday,22,294.2108843537415,0,3662
10.6485,1869,3,61,Paris,french,Tuesday,13,294.2108843537415,0,3662
11.3584,1869,3,2101,Paris,french,Tuesday,19,294.2108843537415,0,3662
19.8772,1869,4,1116,Paris,french,Tuesday,20,294.2108843537415,0,3662
24.8465,1869,6,70,Paris,french,Tuesday,20,294.2108843537415,0,3662
12.0683,1869,3,30,Paris,french,Tuesday,23,294.2108843537415,0,3662
12.7782,1869,4,14,Paris,french,Tuesday,23,294.2108843537415,0,3662
11.3584,1869,3,1638,Paris,french,Wednesday,13,294.2108843537415,0,3662
23.4267,1869,5,10,Paris,french,Wednesday,14,294.2108843537415,0,3662
12.7782,1869,4,73,Paris,french,Wednesday,21,294.2108843537415,0,3662
12.0683,1869,3,15,Paris,french,Wednesday,21,294.2108843537415,0,3662
24.8465,1869,6,40,Paris,french,Wednesday,22,294.2108843537415,0,3662
13.4881,1869,4,10,Paris,french,Wednesday,22,294.2108843537415,0,3662
10.6485,1869,3,25,Paris,french,Thursday,13,294.2108843537415,0,3662
10.6485,1869,3,13,Paris,french,Thursday,13,294.2108843537415,0,3662
11.3584,1869,3,15,Paris,french,Thursday,14,294.2108843537415,0,3662
11.3584,1869,3,75,Paris,french,Thursday,14,294.2108843537415,0,3662
11.3584,1869,3,40,Paris,french,Thursday,14,294.2108843537415,0,3662
10.6485,1869,3,95,Paris,french,Thursday,14,294.2108843537415,0,3662
30.5257,1869,7,463,Paris,french,Thursday,20,294.2108843537415,0,3662
21.297,1869,3,96,Paris,french,Thursday,20,294.2108843537415,0,3662
16.3277,1869,7,25,Paris,french,Thursday,21,294.2108843537415,0,3662
25.5564,1869,5,15,Paris,french,Thursday,21,294.2108843537415,0,3662
17.037599999999998,1869,2,20,Paris,french,Thursday,21,294.2108843537415,0,3662
10.6485,1869,3,35,Paris,french,Thursday,22,294.2108843537415,0,3662
22.7168,1869,4,50,Paris,french,Friday,13,294.2108843537415,0,3662
20.5871,1869,5,5,Paris,french,Saturday,14,294.2108843537415,0,3662
11.3584,1869,3,5,Paris,french,Saturday,14,294.2108843537415,0,3662
22.0069,1869,5,5,Paris,french,Saturday,14,294.2108843537415,0,3662
50.04795,1869,12,1385,Paris,french,Saturday,19,294.2108843537415,0,3662
11.3584,1869,3,56,Paris,french,Saturday,20,294.2108843537415,0,3662
10.6485,1869,3,136,Paris,french,Saturday,20,294.2108843537415,0,3662
29.1059,1869,5,1862,Paris,french,Saturday,21,294.2108843537415,0,3662
26.2663,1869,4,40,Paris,french,Saturday,21,294.2108843537415,0,3662
10.6485,1869,3,15,Paris,french,Saturday,21,294.2108843537415,0,3662
19.8772,1869,4,148,Paris,french,Saturday,21,294.2108843537415,0,3662
14.198,1869,4,26,Paris,french,Saturday,23,294.2108843537415,0,3662
11.3584,1869,3,18,Paris,french,Saturday,23,294.2108843537415,0,3662
16.3277,1869,5,703,Paris,french,Monday,13,294.2108843537415,0,3662
22.36185,1869,8,1742,Paris,french,Monday,20,294.2108843537415,0,3662
22.7168,1869,4,81,Paris,french,Monday,20,294.2108843537415,0,3662
22.7168,1869,4,10,Paris,french,Monday,21,294.2108843537415,0,3662
26.9762,1869,6,30,Paris,french,Monday,21,294.2108843537415,0,3662
23.07175,1869,9,101,Paris,french,Tuesday,21,294.2108843537415,0,3662
10.6485,1869,3,96,Paris,french,Tuesday,22,294.2108843537415,0,3662
36.2049,1869,14,9,Paris,french,Tuesday,22,294.2108843537415,0,3662
22.0069,1869,8,25,Paris,french,Tuesday,23,294.2108843537415,0,3662
13.4881,1869,4,62,Paris,french,Wednesday,20,294.2108843537415,0,3662
11.3584,1869,3,656,Paris,french,Wednesday,21,294.2108843537415,0,3662
26.9762,1869,7,15,Paris,french,Wednesday,21,294.2108843537415,0,3662
32.6554,1869,4,10,Paris,french,Wednesday,21,294.2108843537415,0,3662
17.7475,1869,4,10,Paris,french,Wednesday,22,294.2108843537415,0,3662
15.6178,1869,9,11,Paris,french,Wednesday,22,294.2108843537415,0,3662
23.4267,1869,6,35,Paris,french,Thursday,13,294.2108843537415,0,3662
23.78165,1869,12,447,Paris,french,Thursday,22,294.2108843537415,0,3662
26.62125,1869,11,11,Paris,french,Friday,13,294.2108843537415,0,3662
22.7168,1869,5,0,Paris,french,Friday,22,294.2108843537415,0,3662
13.4881,1869,4,296,Paris,french,Friday,22,294.2108843537415,0,3662
12.0683,1869,2,111,Paris,french,Friday,22,294.2108843537415,0,3662
12.0683,1869,3,35,Paris,french,Friday,22,294.2108843537415,0,3662
22.0069,1869,9,129,Paris,french,Saturday,13,294.2108843537415,0,3662
13.4881,1869,4,35,Paris,french,Saturday,14,294.2108843537415,0,3662
14.198,1869,9,108,Paris,french,Saturday,14,294.2108843537415,0,3662
11.3584,1869,3,125,Paris,french,Saturday,21,294.2108843537415,0,3662
13.4881,1869,4,50,Paris,french,Saturday,22,294.2108843537415,0,3662
11.3584,1869,3,40,Paris,french,Saturday,22,294.2108843537415,0,3662
34.075199999999995,1869,7,186,Paris,french,Saturday,22,294.2108843537415,0,3662
21.297,1869,4,10,Paris,french,Saturday,22,294.2108843537415,0,3662
19.8772,1869,9,50,Paris,french,Saturday,22,294.2108843537415,0,3662
13.4881,1869,4,15,Paris,french,Saturday,22,294.2108843537415,0,3662
9.2287,1869,2,0,Paris,french,Saturday,23,294.2108843537415,0,3662
11.3584,1869,3,85,Paris,french,Monday,14,294.2108843537415,0,3662
22.7168,1869,6,191,Paris,french,Monday,20,294.2108843537415,0,3662
28.396,1869,6,176,Paris,french,Monday,21,294.2108843537415,0,3662
14.198,1869,4,155,Paris,french,Monday,21,294.2108843537415,0,3662
21.297,1869,7,206,Paris,french,Monday,22,294.2108843537415,0,3662
27.6861,1869,11,221,Paris,french,Monday,22,294.2108843537415,0,3662
14.198,1869,4,45,Paris,french,Tuesday,21,294.2108843537415,0,3662
11.3584,1869,3,85,Paris,french,Tuesday,21,294.2108843537415,0,3662
22.0069,1869,5,20,Paris,french,Tuesday,21,294.2108843537415,0,3662
22.7168,1869,6,90,Paris,french,Tuesday,22,294.2108843537415,0,3662
10.6485,1869,7,10,Paris,french,Tuesday,23,294.2108843537415,0,3662
35.45,1518,4,5632,London,healthy,Monday,11,581.0819672131148,0,5632
72.25,1518,11,750,London,healthy,Monday,19,581.0819672131148,0,5632
41.55,1518,7,598,London,healthy,Monday,20,581.0819672131148,0,5632
54.5,1518,10,884,London,healthy,Monday,20,581.0819672131148,0,5632
11.2,1518,2,462,London,healthy,Monday,20,581.0819672131148,0,5632
18.9,1518,2,242,London,healthy,Monday,21,581.0819672131148,0,5632
10.45,1518,2,4401,London,healthy,Tuesday,12,581.0819672131148,0,5632
18.15,1518,4,20,London,healthy,Tuesday,18,581.0819672131148,0,5632
117.05,1518,9,1542,London,healthy,Tuesday,20,581.0819672131148,0,5632
15.75,1518,5,949,London,healthy,Tuesday,20,581.0819672131148,0,5632
15.25,1518,2,10,London,healthy,Wednesday,13,581.0819672131148,0,5632
15.2,1518,2,5,London,healthy,Wednesday,14,581.0819672131148,0,5632
18.3,1518,4,5,London,healthy,Wednesday,14,581.0819672131148,0,5632
29.6,1518,4,503,London,healthy,Wednesday,18,581.0819672131148,0,5632
16.2,1518,4,126,London,healthy,Wednesday,20,581.0819672131148,0,5632
14.9,1518,2,4954,London,healthy,Thursday,12,581.0819672131148,0,5632
17.45,1518,3,5,London,healthy,Thursday,18,581.0819672131148,0,5632
15.4,1518,4,5,London,healthy,Thursday,19,581.0819672131148,0,5632
15.85,1518,4,65,London,healthy,Thursday,21,581.0819672131148,0,5632
42.7,1518,6,10,London,healthy,Friday,13,581.0819672131148,0,5632
19.9,1518,4,20,London,healthy,Friday,14,581.0819672131148,0,5632
41.0,1518,5,10,London,healthy,Friday,19,581.0819672131148,0,5632
15.15,1518,2,5,London,healthy,Monday,21,581.0819672131148,0,5632
15.1,1518,3,3096,London,healthy,Tuesday,12,581.0819672131148,0,5632
15.8,1518,3,10,London,healthy,Tuesday,13,581.0819672131148,0,5632
15.0,1518,4,10,London,healthy,Tuesday,14,581.0819672131148,0,5632
21.05,1518,3,6,London,healthy,Tuesday,20,581.0819672131148,0,5632
23.35,1518,5,131,London,healthy,Tuesday,21,581.0819672131148,0,5632
22.0,1518,5,282,London,healthy,Wednesday,14,581.0819672131148,0,5632
81.0,1518,5,418,London,healthy,Wednesday,16,581.0819672131148,0,5632
22.35,1518,5,5,London,healthy,Wednesday,20,581.0819672131148,0,5632
9.95,1518,3,212,London,healthy,Thursday,21,581.0819672131148,0,5632
15.3,1518,1,15,London,healthy,Friday,13,581.0819672131148,0,5632
12.35,1518,2,5,London,healthy,Friday,14,581.0819672131148,0,5632
15.3,1518,4,453,London,healthy,Friday,19,581.0819672131148,0,5632
15.2,1518,2,933,London,healthy,Friday,21,581.0819672131148,0,5632
17.5,1518,5,15,London,healthy,Saturday,17,581.0819672131148,0,5632
9.65,1518,3,30,London,healthy,Tuesday,21,581.0819672131148,0,5632
30.15,1518,5,10,London,healthy,Wednesday,15,581.0819672131148,0,5632
17.8,1518,3,10,London,healthy,Wednesday,18,581.0819672131148,0,5632
11.1,1518,2,15,London,healthy,Wednesday,19,581.0819672131148,0,5632
15.4,1518,4,35,London,healthy,Thursday,18,581.0819672131148,0,5632
15.35,1518,6,5,London,healthy,Thursday,19,581.0819672131148,0,5632
163.9,1518,12,3149,London,healthy,Sunday,13,581.0819672131148,0,5632
17.05,1518,2,10,London,healthy,Sunday,13,581.0819672131148,0,5632
9.25,1518,2,603,London,healthy,Sunday,14,581.0819672131148,0,5632
28.5,1518,5,5,London,healthy,Monday,13,581.0819672131148,0,5632
16.8,1518,2,532,London,healthy,Monday,19,581.0819672131148,0,5632
